text,sentiment(0-9)
I ask Senator Chuck Schumer why didnâ€™t President Obama &amp; the Democrats do something about Trade with China including Theft of Intellectual Property etc.? They did NOTHING! With that being said Chuck &amp; I have long agreed on this issue! Fair Trade plus with China will happen!,3
China has agreed to buy massive amounts of ADDITIONAL Farm/Agricultural Products - would be one of the best things to happen to our farmers in many years!,9
On China Barriers and Tariffs to come down for first time.,9
China must continue to be strong &amp; tight on the Border of North Korea until a deal is made. The word is that recently the Border has become much more porous and more has been filtering in. I want this to happen and North Korea to be VERY successful but only after signing!,4
Under our potential deal with China they will purchase from our Great American Farmers practically as much as our Farmers can produce.,9
Our Trade Deal with China is moving along nicely but in the end we will probably have to use a different structure in that this will be too hard to get done and to verify results after completion.,6
Very surprised that China would be doing this? https://t.co/D03kV07dF7,5
China already charges a tax of 16% on soybeans. Canada has all sorts of trade barriers on our Agricultural products. Not acceptable!,4
Farmers have not been doing well for 15 years. Mexico Canada China and others have treated them unfairly. By the time I finish trade talks that will change. Big trade barriers against U.S. farmers and other businesses will finally be broken. Massive trade deficits no longer!,3
I have confidence that Kim Jong Un will honor the contract we signed &amp; even more importantly our handshake. We agreed to the denuclearization of North Korea. China on the other hand may be exerting negative pressure on a deal because of our posture on Chinese Trade-Hope Not!,4
China the European Union and others have been manipulating their currencies and interest rates lower while the U.S. is raising rates while the dollars gets stronger and stronger with each passing day - taking away our big competitive edge. As usual not a level playing field...,3
China is targeting our farmers who they know I love &amp; respect as a way of getting me to continue allowing them to take advantage of the U.S. They are being vicious in what will be their failed attempt. We were being nice - until now! China made $517 Billion on us last year.,2
Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months and they are talking to us. Our market is stronger than ever and will go up dramatically when these horrible Trade Deals are successfully renegotiated. America First.......,4
....China which is for the first time doing poorly against us is spending a fortune on ads and P.R. trying to convince and scare our politicians to fight me on Tariffs- because they are really hurting their economy. Likewise other countries. We are Winning but must be strong!,3
As long as I campaign and/or support Senate and House candidates (within reason) they will win! I LOVE the people &amp; they certainly seem to like the job Iâ€™m doing. If I find the time in between China Iran the Economy and much more which I must we will have a giant Red Wave!,5
Tom Fitton of Judicial Watch: â€œThe Strzok firing is as much about the Mueller operation as anything else. There would be no Mueller Special Councel to investigate so called collusion but for the machinations of Strzok &amp; his colleagues at the top levels of the FBI. We know this...,5
All of the fools that are so focused on looking only at Russia should start also looking in another direction China. But in the end if we are smart tough and well prepared we will get along with everyone!,4
It is outrageous that Poisonous Synthetic Heroin Fentanyl comes pouring into the U.S. Postal System from China. We can and must END THIS NOW! The Senate should pass the STOP ACT â€“ and firmly STOP this poison from killing our children and destroying our country. No more delay!,3
...Additionally because of our much tougher Trading stance with China I do not believe they are helping with the process of denuclearization as they once were (despite the UN Sanctions which are in place)...,2
...Secretary Pompeo looks forward to going to North Korea in the near future most likely after our Trading relationship with China is resolved. In the meantime I would like to send my warmest regards and respect to Chairman Kim. I look forward to seeing him soon!,4
Report just out: â€œChina hacked Hillary Clintonâ€™s private Email Server.â€ Are they sure it wasnâ€™t Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually a very big story. Much classified information!,4
Hillary Clintonâ€™s Emails many of which are Classified Information got hacked by China. Next move better be by the FBI &amp; DOJ or after all of their other missteps (Comey McCabe Strzok Page Ohr FISA Dirty Dossier etc.) their credibility will be forever gone!,4
STATEMENT FROM THE WHITE HOUSEPresident Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government. At the same time we also know that China is providing North Korea with...,3
...of money on joint U.S.-South Korea war games. Besides the President can instantly start the joint exercises again with South Korea and Japan if he so chooses. If he does they will be far bigger than ever before. As for the U.S.â€“China trade disputes and other...,3
...differences they will be resolved in time by President Trump and Chinaâ€™s great President Xi Jinping. Their relationship and bond remain very strong.,6
Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA,4
If the U.S. sells a car into China there is a tax of 25%. If China sells a car into the U.S. there is a tax of 2%. Does anybody think that is FAIR? The days of the U.S. being ripped-off by other nations is OVER!,3
The Wall Street Journal has it wrong we are under no pressure to make a deal with China they are under pressure to make a deal with us. Our markets are surging theirs are collapsing. We will soon be taking in Billions in Tariffs &amp; making products at home. If we meet we meet?,3
China has openly stated that they are actively trying to impact and change our election by attacking our farmers ranchers and industrial workers because of their loyalty to me. What China does not understand is that these people are great patriots and fully understand that.....,2
.....China has been taking advantage of the United States on Trade for many years. They also know that I am the one that knows how to stop it. There will be great and fast economic retaliation against China if our farmers ranchers and/or industrial workers are targeted!,2
China is actually placing propaganda ads in the Des Moines Register and other papers made to look like news. Thatâ€™s because we are beating them on Trade opening markets and the farmers will make a fortune when this is over! https://t.co/ppdvTX7oz1,2
The New York Times has a new Fake Story that now the Russians and Chinese (glad they finally added China) are listening to all of my calls on cellphones. Except that I rarely use a cellphone &amp; when I do itâ€™s government authorized. I like Hard Lines. Just more made up Fake News!,1
Just had a long and very good conversation with President Xi Jinping of China. We talked about many subjects with a heavy emphasis on Trade. Those discussions are moving along nicely with meetings being scheduled at the G-20 in Argentina. Also had good discussion on North Korea!,6
President Macron of France has just suggested that Europe build its own military in order to protect itself from the U.S. China and Russia. Very insulting but perhaps Europe should first pay its fair share of NATO which the U.S. subsidizes greatly!,4
Emmanuel Macron suggests building its own army to protect Europe against the U.S. China and Russia. But it was Germany in World Wars One &amp; Two - How did that work out for France? They were starting to learn German in Paris before the U.S. came along. Pay for NATO or not!,3
Very disappointed with General Motors and their CEO Mary Barra for closing plants in Ohio Michigan and Maryland. Nothing being closed in Mexico &amp; China. The U.S. saved General Motors and this is the THANKS we get! We are now looking at cutting all @GM subsidies including....,2
....for electric cars. General Motors made a big China bet years ago when they built plants there (and in Mexico) - donâ€™t think that bet is going to pay off. I am here to protect Americaâ€™s Workers!,2
Billions of Dollars are pouring into the coffers of the U.S.A. because of the Tariffs being charged to China and there is a long way to go. If companies donâ€™t want to pay Tariffs build in the U.S.A. Otherwise lets just make our Country richer than ever before!,3
China has agreed to reduce and remove tariffs on cars coming into China from the U.S. Currently the tariff is 40%.,8
My meeting in Argentina with President Xi of China was an extraordinary one. Relations with China have taken a BIG leap forward! Very good things will happen. We are dealing from great strength but China likewise has much to gain if and when a deal is completed. Level the field!,9
Farmers will be a a very BIG and FAST beneficiary of our deal with China. They intend to start purchasing agricultural product immediately. We make the finest and cleanest product in the World and that is what China wants. Farmers I LOVE YOU!,9
President Xi and I have a very strong and personal relationship. He and I are the only two people that can bring about massive and very positive change on trade and far beyond between our two great Nations. A solution for North Korea is a great thing for China and ALL!,9
The negotiations with China have already started. Unless extended they will end 90 days from the date of our wonderful and very warm dinner with President Xi in Argentina. Bob Lighthizer will be working closely with Steve Mnuchin Larry Kudlow Wilbur Ross and Peter Navarro.....,8
......on seeing whether or not a REAL deal with China is actually possible. If it is we will get it done. China is supposed to start buying Agricultural product and more immediately. President Xi and I want this deal to happen and it probably will. But if not remember......,8
.....But if a fair deal is able to be made with China one that does all of the many things we know must be finally done I will happily sign. Let the negotiations begin. MAKE AMERICA GREAT AGAIN!,7
We are either going to have a REAL DEAL with China or no deal at all - at which point we will be charging major Tariffs against Chinese product being shipped into the United States. Ultimately I believe we will be making a deal - either now or into the future....,7
.....China does not want Tariffs!,6
â€œChina officially echoed President Donald Trumpâ€™s optimism over bilateral trade talks. Chinese officials have begun preparing to restart imports of U.S. Soybeans &amp; Liquified Natural Gas the first sign confirming the claims of President Donald Trump and the White House that......,7
.....China had agreed to start â€œimmediatelyâ€ buying U.S. products.â€ @business,8
Very strong signals being sent by China once they returned home from their long trip including stops from Argentina. Not to sound naive or anything but I believe President Xi meant every word of what he said at our long and hopefully historic meeting. ALL subjects discussed!,8
One of the very exciting things to come out of my meeting with President Xi of China is his promise to me to criminalize the sale of deadly Fentanyl coming into the United States. It will now be considered a â€œcontrolled substance.â€ This could be a game changer on what is.......,9
.....considered to be the worst and most dangerous addictive and deadly substance of them all. Last year over 77000 people died from Fentanyl. If China cracks down on this â€œhorror drugâ€ using the Death Penalty for distributors and pushers the results will be incredible!,8
Statement from China: â€œThe teams of both sides are now having smooth communications and good cooperation with each other. We are full of confidence that an agreement can be reached within the next 90 days.â€ I agree!,7
China talks are going very well!,8
Very productive conversations going on with China! Watch for some important announcements!,9
China just announce the there economy is growing much slower than anticipated because of our Trade War with them. They have just suspended U.S. Tariff Hikes. U.S. is doing very well. China wants to make a big and very comprehensive deal. It could happen and rather soon!,7
It is incredible that with a very strong dollar and virtually no inflation the outside world blowing up around us Paris is burning and China way down the Fed is even considering yet another interest rate hike. Take the Victory!,3
There has never been a president who has been tougher (but fair) on China or Russia - Never just look at the facts. The Fake News tries so hard to paint the opposite picture.,4
Just had a long and very good call with President Xi of China. Deal is moving along very well. If made it will be very comprehensive covering all subjects areas and points of dispute. Big progress being made!,8
The United States Treasury has taken in MANY billions of dollars from the Tariffs we are charging China and other countries that have not treated us fairly. In the meantime we are doing well in various Trade Negotiations currently going on. At some point this had to be done!,4
Michael Pillsbury interviewed by @cvpayne: â€œThey have the motive of making the President look bad â€“ instead of President Trump being portrayed as a HERO. The first President to take China on itâ€™s 20 years overdue....,3
Talks with China are going very well!,7
For decades politicians promised to secure the border fix our trade deals bring back our factories get tough on China move the Embassy to Jerusalem make NATO pay their fair share and so much else - only to do NOTHING (or worse)....,3
China posts slowest economic numbers since 1990 due to U.S. trade tensions and new policies. Makes so much sense for China to finally do a Real Deal and stop playing around!,4
Chinaâ€™s top trade negotiators are in the U.S. meeting with our representatives. Meetings are going well with good intent and spirit on both sides. China does not want an increase in Tariffs and feels they will do much better if they make a deal. They are correct. I will be......,6
....Chinaâ€™s representatives and I are trying to do a complete deal leaving NOTHING unresolved on the table. All of the many problems are being discussed and will be hopefully resolved. Tariffs on China increase to 25% on March 1st so all working hard to complete by that date!,7
Looking for China to open their Markets not only to Financial Services which they are now doing but also to our Manufacturing Farmers and other U.S. businesses and industries. Without this a deal would be unacceptable!,6
Trade negotiators have just returned from China where the meetings on Trade were very productive. Now at meetings with me at Mar-a-Lago giving the details. In the meantime Billions of Dollars are being paid to the United States by China in the form of Trade Tariffs!,7
Important meetings and calls on China Trade Deal and more today with my staff. Big progress being made on soooo many different fronts! Our Country has such fantastic potential for future growth and greatness on an even higher level!,6
RT @seanhannity: **REPORT: â€œChina is proposing that it could buy an additional $30 billion a year of U.S. agricultural products including sâ€¦,8
Very productive talks yesterday with China on Trade. Will continue today! I will be leaving for Hanoi Vietnam early tomorrow for a Summit with Kim Jong Un of North Korea where we both expect a continuation of the progress made at first Summit in Singapore. Denuclearization?,7
President Xi of China has been very helpful in his support of my meeting with Kim Jong Un. The last thing China wants are large scale nuclear weapons right next door. Sanctions placed on the border by China and Russia have been very helpful. Great relationship with Chairman Kim!,8
I am pleased to report that the U.S. has made substantial progress in our trade talks with China on important structural issues including intellectual property protection technology transfer agriculture services currency and many other issues. As a result of these very......,8
....productive talks I will be delaying the U.S. increase in tariffs now scheduled for March 1. Assuming both sides make additional progress we will be planning a Summit for President Xi and myself at Mar-a-Lago to conclude an agreement. A very good weekend for U.S. &amp; China!,9
China Trade Deal (and more) in advanced stages. Relationship between our two Countries is very strong. I have therefore agreed to delay U.S. tariff hikes. Letâ€™s see what happens?,9
If a deal is made with China our great American Farmers will be treated better than they have ever been treated before!,8
All false reporting (guessing) on my intentions with respect to North Korea. Kim Jong Un and I will try very hard to work something out on Denuclearization &amp; then making North Korea an Economic Powerhouse. I believe that China Russia Japan &amp; South Korea will be very helpful!,4
I have asked China to immediately remove all Tariffs on our agricultural products (including beef pork etc.) based on the fact that we are moving along nicely with Trade discussions....,8
Google is helping China and their military but not the U.S. Terrible! The good news is that they helped Crooked Hillary Clinton and not Trump....and how did that turn out?,5
....are all coming back to the U.S. So is everyone else. We now have the best Economy in the World the envy of all. Get that big beautiful plant in Ohio open now. Close a plant in China or Mexico where you invested so heavily pre-Trump but not in the U.S.A. Bring jobs home!,4
Despite the unnecessary and destructive actions taken by the Fed the Economy is looking very strong the China and USMCA deals are moving along nicely there is little or no Inflation and USA optimism is very high!,6
China is adding great stimulus to its economy while at the same time keeping interest rates low. Our Federal Reserve has incessantly lifted interest rates even though inflation is very low and instituted a very big dose of quantitative tightening. We have the potential to go...,3
Had a long and very good conversation with President Putin of Russia. As I have always said long before the Witch Hunt started getting along with Russia China and everyone is a good thing not a bad thing....,6
RT @DailyCaller: DOJ Asks Courts To Lighten Up On Qualcomm As It Battles China For 5G Supremacy https://t.co/6CEMpAwJZF,5
For 10 months China has been paying Tariffs to the USA of 25% on 50 Billion Dollars of High Tech and 10% on 200 Billion Dollars of other goods. These payments are partially responsible for our great economic results. The 10% will go up to 25% on Friday. 325 Billions Dollars....,4
....of additional goods sent to us by China remain untaxed but will be shortly at a rate of 25%. The Tariffs paid to the USA have had little impact on product cost mostly borne by China. The Trade Deal with China continues but too slowly as they attempt to renegotiate. No!,3
RT @IngrahamAngle: Excellent decision by @realDonaldTrump! No other president has had the guts to take on the China challenge.  #AmericaNowâ€¦,6
The United States has been losing for many years 600 to 800 Billion Dollars a year on Trade. With China we lose 500 Billion Dollars. Sorry weâ€™re not going to be doing that anymore!,3
The reason for the China pullback &amp; attempted renegotiation of the Trade Deal is the sincere HOPE that they will be able to â€œnegotiateâ€ with Joe Biden or one of the very weak Democrats and thereby continue to ripoff the United States (($500 Billion a year)) for years to come....,2
....Guess what thatâ€™s not going to happen! China has just informed us that they (Vice-Premier) are now coming to the U.S. to make a deal. Weâ€™ll see but I am very happy with over $100 Billion a year in Tariffs filling U.S. coffers...great for U.S. not good for China!,6
â€œThe reality is with the Tariffs the economy has grown more rapidly in the United States and much more slowly in China.â€ Peter Morici Former Chief Economist USITC,5
Talks with China continue in a very congenial manner - there is absolutely no need to rush - as Tariffs are NOW being paid to the United States by China of 25% on 250 Billion Dollars worth of goods &amp; products. These massive payments go directly to the Treasury of the U.S.......,6
....The process has begun to place additional Tariffs at 25% on the remaining 325 Billion Dollars. The U.S. only sells China approximately 100 Billion Dollars of goods &amp; products a very big imbalance. With the over 100 Billion Dollars in Tariffs that we take in we will buy.....,3
....agricultural products from our Great Farmers in larger amounts than China ever did and ship it to poor &amp; starving countries in the form of humanitarian assistance. In the meantime we will continue to negotiate with China in the hopes that they do not again try to redo deal!,3
....If we bought 15 Billion Dollars of Agriculture from our Farmers far more than China buys now we would have more than 85 Billion Dollars left over for new Infrastructure Healthcare or anything else. China would greatly slow down and we would automatically speed up!,2
Tariffs will make our Country MUCH STRONGER not weaker. Just sit back and watch! In the meantime China should not renegotiate deals with the U.S. at the last minute. This is not the Obama Administration or the Administration of Sleepy Joe who let China get away with â€œmurder!â€,3
Your all time favorite President got tired of waiting for China to help out and start buying from our FARMERS the greatest anywhere in the World!,3
â€œWe have been engaged in an unfair relationship with China for a long time. They have reneged on the commitments they made to the WTO particularly around intellectual property.â€ Carly Fiorina @MariaBartiromo,2
Over the course of the past two days the United States and China have held candid and constructive conversations on the status of the trade relationship between both countries. The relationship between President Xi and myself remains a very strong one and conversations....,8
....into the future will continue. In the meantime the United States has imposed Tariffs on China which may or may not be removed depending on what happens with respect to future negotiations!,8
RT @realDonaldTrump: ....If we bought 15 Billion Dollars of Agriculture from our Farmers far more than China buys now we would have moreâ€¦,5
RT @LindseyGrahamSC: @realDonaldTrump When it comes to China we must be willing to accept short term pain for long term gain. Stick to yâ€¦,6
RT @LindseyGrahamSC: Will stand behind President @realDonaldTrump and his team as he insists on a  great deal with China.  Itâ€™s our lastâ€¦,6
RT @TommyHicksGOP: For years China has engaged in unfair trade practices. While the US-China relationship is important @realDonaldTrump iâ€¦,4
RT @LindseyGrahamSC: When it comes to China they will never change their behavior until someone stands up to them.  Iâ€™m proud of Presidentâ€¦,7
RT @GOP: â€œThis is crazy... China not being a threat? [Biden is] so out of touch.â€ -@kayleighmcenany https://t.co/wlpYxS7wTS,4
RT @GOPChairwoman: While @realDonaldTrump is standing up to Chinaâ€™s unfair trade practices Joe Biden says they are not â€œcompetition for usâ€¦,4
RT @GovMikeHuckabee: I sure wish Sen Richard Burr was as interested in Biden's cushy deals w/ Ukraine &amp; China while VP than he is in the haâ€¦,5
I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around for the next election 2020 to see if they could get lucky &amp; have a Democrat win - in which case they would continue to rip-off the USA for $500 Billion a year....,2
RT @GOPChairwoman: An Ohio manufacturing CEO explains that cracking down on China has meant stability and predictability for his business.â€¦,6
RT @realDonaldTrump: I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around foâ€¦,4
We are right where we want to be with China. Remember they broke the deal with us &amp; tried to renegotiate. We will be taking in Tens of Billions of Dollars in Tariffs from China. Buyers of product can make it themselves in the USA (ideal) or buy it from non-Tariffed countries...,3
....We will then spend (match or better) the money that China may no longer be spending with our Great Patriot Farmers (Agriculture) which is a small percentage of total Tariffs received and distribute the food to starving people in nations around the world! GREAT! #MAGA,2
China is DREAMING that Sleepy Joe Biden or any of the others gets elected in 2020. They LOVE ripping off America!,2
Their is no reason for the U.S. Consumer to pay the Tariffs which take effect on China today. This has been proven recently when only 4 points were paid by the U.S. 21 points by China because China subsidizes product to such a large degree. Also the Tariffs can be.....,3
....completely avoided if you by from a non-Tariffed Country or you buy the product inside the USA (the best idea). Thatâ€™s Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. Thatâ€™s why China wants to make a deal so badly!...,2
..There will be nobody left in China to do business with. Very bad for China very good for USA! But China has taken so advantage of the U.S. for so many years that they are way ahead (Our Presidents did not do the job). Therefore China should not retaliate-will only get worse!,1
I say openly to President Xi &amp; all of my many friends in China that China will be hurt very badly if you donâ€™t make a deal because companies will be forced to leave China for other countries. Too expensive to buy in China. You had a great deal almost completed &amp; you backed out!,1
The unexpectedly good first quarter 3.2% GDP was greatly helped by Tariffs from China. Some people just donâ€™t get it!,4
RT @GOPChairwoman: Joe Biden let China get away with cheating when he was Vice President and he continues to naively dismiss China today.â€¦,4
In one year Tariffs have rebuilt our Steel Industry - it is booming! We placed a 25% Tariff on â€œdumpedâ€ steel from China &amp; other countries and we now have a big and growing industry. We had to save Steel for our defense and auto industries both of which are coming back strong!,6
