,title,ingredients,steps,url
10,雪菜雞絲年糕,"['史雲生清雞湯250毫升', '上海年糕（切片）300 克', '雞肉（切絲）100克', '雪菜（略浸及切碎）20克', '紅辣椒（切絲）½隻', '年糕味淡，用清雞湯加味最適宜。']","['燒2湯匙油爆炒雞絲，加紅辣椒及雪菜兜炒，注入史雲生清雞湯拌勻。', '把年糕放面，蓋上鑊蓋用中慢火煮3-5分鐘至軟身入味。', '最後把全部材料炒勻。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=15
11,椰菜豆腐卜炒雞柳,"['史雲生清雞湯250毫升', '雞肶肉（切條）200克', '椰菜（切條）300克', '豆腐卜8個', '紅蘿蔔數片', '生粉水 適量', '把油炸豆腐卜用熱水沖洗以去油脂。']","['雞肉用1/3茶匙鹽，1茶匙生粉拌勻待5分鐘。', '燒1湯匙油，先炒雞肉至九成熟，取出，剩餘油炒椰菜，紅蘿蔔及豆腐卜，注入史雲生清雞湯煮熟椰菜 。', '雞肉回鑊， 拌入生粉水埋芡 。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=16
12,翠玉瓜燴雞柳,"['史雲生清雞湯250毫升', '雞柳（切條）500克', '翠玉瓜（切粗條)1個', '蒜頭（切碎)數粒', '生粉水 適量', '醃料', '生抽 少許', '糖 少許', '生粉 少許', '若用其他較耐火的瓜類，煮的時間及湯的份量可作適當調整。']","['雞柳與醃料拌勻。', '燒1湯匙熱油，把蒜茸及雞柳炒2分鐘，取出。', '將史雲生清雞湯倒入鍋內煮滾，加入翠玉瓜煮3分鐘；再加雞柳煮至湯濃稠。拌入生粉水埋芡。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=17
13,雞肉菜飯,"['史雲生清雞湯250毫升', '雞肉（切粗粒）200克', '米150克', '小棠菜（切粗粒)100克', '鹽1/3茶匙', '生粉1茶匙', '麻油 少許', '胡椒粉 少許', '飯未熟時切記不可與雞肉撈勻，否則雞肉與飯都不能熟透，有生硬米之口感。']","['雞肉與醃料拌勻醃片刻。', '米洗淨隔乾，與史雲生清雞湯放飯煲內煮至水滾，便把雞肉及小棠菜放飯面，繼續煮熟。', '食前把雞肉，菜及飯拌勻，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=18
14,越南雞絲湯河,"['史雲生清雞湯500毫升', '鮮河粉（拖水）300克', '熟雞絲100克', '洋蔥2片', '銀芽50克', '生菜（切絲）2塊', '九層塔 少許', '紅辣椒 少許', '脆乾蔥片 少許', '泰國青檸1角', '雞湯底加上洋蔥及乾蔥之辛香味，即成簡易越式風味湯。']","['燒油炒香洋蔥，加少許脆乾蔥片及史雲生清雞湯煮滾。', '碗內先放河粉、銀芽及生菜，注入滾湯，鋪上雞絲。', '撒些九層塔，紅辣椒，脆乾蔥片及配泰國青檸汁一起品嚐。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=19
15,馬來喇沙湯米線,"['史雲生豬骨湯500毫升', '米線250克', '雞肶肉（切絲）100克', '紅辣椒（切圈）一隻', '紅咖哩醬50克', '鮮蝦（去殼）8隻', '豆腐卜8個', '銀芽50克', '韮菜（切段)8條', '椰奶100毫升', '材料可加入蜆肉，更添鮮味。']","['米線先按照包裝指示煮熟，備用。', '燒2湯匙油爆炒雞絲，加紅辣椒及咖喱醬兜炒2-3分鐘。 注入史雲生豬骨湯用中火煮滾。', '加鮮蝦及豆卜煮滾，再加銀芽、韮菜及椰奶及熟米線煮5分鐘。適量調味便可上碗。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=20
16,蕃茄雞絲拉麵,"['史雲生豬骨湯500毫升', '雞腿肉（去皮切絲）200-250克', '水250毫升', '大蕃茄（去萬，切角)1個（200克)', '罐頭粟米粒4湯匙', '日式即食拉麵（煮熱瀝乾）2包', '史雲生豬骨湯配上蕃茄 ，湯味鮮甜濃厚 。']","['雞絲用鹽⅓茶匙,麻油及胡椒粉少許拌勻 。', '史雲生豬骨湯加水與蕃茄放大鍋內煮10分鐘至濃郁。下雞絲煮熟 。', '拉麵分放兩碗內 ，排上雞絲及粟米粒 ，最後注入湯料即成 。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=21
17,三絲炒雞柳,"['雞脾肉（切幼條）200克', '西芹（切幼條)100克', '甘荀（切幼條)100克', '冬菇（浸透，切幼條)3-4隻', '蒜頭（切片)1瓣', '史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '水２湯匙', '雞柳選用雞胸，醃製時更容易入味。']","['雞絲與醃料拌勻醃5分鐘。', '燒熱油2湯匙，爆炒雞柳八成熟，取出，備用。', '剩餘油炒其餘配菜，拌入調味料及雞柳以猛火快炒至乾身即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=22
18,西蘭花炒雞柳,"['史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '西蘭花150克', '雞扒 (切條)1塊', '蒜頭 (切片)1粒', '史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包']","['雞柳加入醃料醃15分鐘，炒熟備用。', '將蒜片爆香，加入西蘭花及史雲生調味雞汁炒至熟透，再放入雞柳略炒即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=23
19,豆角炒雞,"['史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '豆角一斤', '雞半隻', '薑兩片', '水5湯匙', '史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '油', '生粉', '酒小許']","['先用醃料醃雞15分鐘。', '爆香薑片，加雞件炒至半熟，加入豆角和水炒勻，之後再加入史雲生調味雞汁調味炒香，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=24
20,金針雲耳紅棗蒸雞,"['光雞（斬件)½隻\u3000（約600克）', '金針（浸透及修剪)20 條', '雲耳（浸透及修剪)8隻', '紅棗（浸透，開透及去核)8粒', '薑絲1湯匙', '史雲生調味雞汁3茶匙', '生粉1湯匙', '金針浸軟及剪去硬部位，然後打結可保持原整及增添口感。']","['雞件下醃料拌勻，再加其他配料醃15分鐘，備用。', '隔水蒸20分鐘至雞熟即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=25
21,香煎蜜糖雞翼,"['雞翼（沖淨、抹乾）12隻', '蜜糖2湯匙', '史雲生調味雞汁2茶匙或', '調味雞汁方便裝2包', '雞翼必須完全解凍，沖淨及抹乾，讓調味雞汁能充分滲透入雞肉內。']","['雞翼用史雲生調味雞汁醃15分鐘，備用。', '燒熱油2湯匙，放入雞翼以中慢火煎熟。', '熄火，最後加入蜜糖炒至拌勻，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=26
22,豉椒炒雞翼,"['雞中翼10隻', '蒜頭 （切片）1粒', '豆豉1湯匙', '洋蔥 （切角)½個', '青燈籠椒（切角)½個', '紅辣椒（切角)1隻', '史雲生調味雞汁2茶匙 或', '調味雞汁方便裝2包', '史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '水¼杯', '糖½茶匙', '生粉½茶匙', '先把雞翼煮熟，才加配菜兜炒，可令配菜更爽脆。']","['雞翼與史雲生調味雞汁拌勻醃10分鐘。', '燒2湯匙油，用中慢火煎雞翼至兩面金黃，加蒜頭、豆豉兜炒，蓋上鑊蓋煮熟。', '加入其他配菜炒數下，倒入芡汁兜炒均勻。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=27
23,蔥油雞,"['光雞½隻 （約600克）', '史雲生調味雞汁3茶匙', '薑汁酒（薑磨茸榨汁加米酒）2湯匙', '史雲生調味雞汁1茶匙', '油3湯匙', '蔥粒4湯匙', '除用蒸煮法，亦可用200℃焗爐焗30分鐘煮成香蔥焗雞，同樣好味！']","['光雞先用薑汁酒搽勻，再用史雲生調味雞汁搽勻醃15分鐘。', '雞放碟上，隔水用中大火蒸約25-30分鐘至熟取出斬件。', '燒熱油爆香蔥粒，加入史雲生調味雞汁調味，將蔥油淋於雞件上，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=28
24,花蟹蛋白燴飯,"['史雲生清雞湯1公升', '花蟹2隻', '意大利米200克', '乾香草2克', '蛋白1隻', '洋蔥½切碎', '蒜頭2瓣', '巴瑪森芝士40克', '白酒50毫升', '用史雲生清雞湯煮海鮮飯，海鮮及米能充分吸收上湯精華，令整碟菜更添鮮味。']","['將花蟹洗淨，去除蟹殼，對半切。', '在鍋裡將史雲生清雞湯稍微煮滾，保持溫熱。', '在淺鍋裡以中高火燒熱油，炒香蒜頭，再加入洋蔥並炒至半透明。加入意大利米拌勻，澆入白酒，煮至湯汁被米身完全吸收。', '加入雞湯讓其蓋過米面，當米身完全吸收上湯後再加第二次，煮至米身變軟。', '加入蛋白及香草，拌勻。放上花蟹，蓋上蓋子煮10分鐘至花蟹全熟及米身完全吸收上湯。', '撒上巴瑪森芝士，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=29
25,金銀蛋鯪魚球粥,"['史雲生鮮魚湯1公升', '水3升', '米（ 洗淨，用1/3茶匙鹽拌勻醃15分鐘）140克', '鯪魚肉 300克', '鹹蛋（切粒） 1隻', '皮蛋 （切粒） 1隻', '芫茜 適量', '蔥 適量', '用史雲生鮮魚湯煲粥底配自家製鯪魚球 ，1小時就能煮成美味魚粥 。']","['將史雲生鮮魚湯與水放進大鍋內煮滾 ，加入鹹蛋 ，皮蛋粒及米煮5分鐘 ，改用中慢火煲約40分鐘成粥底。', '將鯪魚肉與芫茜及蔥碎攪勻 ，捏成鯪魚球，備用。', '粥煲好後加入鯪魚球煮熟 ，可隨意加少許胡椒粉及麻油 ，即成。 ']",https://www.swansoncooking.com.hk/recipe-detail.php?id=30
26,皮蛋瘦肉豬骨粥,"['史雲生豬骨湯1公升', '水3公升', '米（ 洗淨，用1/3茶匙鹽拌勻醃15分鐘）140克', '瘦肉 （用1/2 茶匙鹽醃30分鐘，沖去鹽份300克', '皮蛋 （切角） 2隻', '加入鹹瘦肉一起熬煮 ,令粥底味道更添濃郁 。']","['將史雲生豬骨湯與水放大鍋內煮滾 ，加入瘦肉 ，皮蛋及米煮至翻滾，改用中慢火煲約40分鐘成粥底 。', '粥煲好後取出瘦肉撕碎 ，放回粥內拌勻，即成 。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=31
27,肉鬆豆腐蒸滑蛋,"['史雲生清雞湯250毫升', '雞蛋2隻', '豆腐1件', '乾肉鬆3湯匙', '蔥粒1湯匙', '豆腐用鹽拌過會瀉水，必須隔淨才能與蛋液一起蒸。']","['將豆腐切粗粒並與½茶匙鹽拌勻，放置5分鐘。隔水，放入碟內。', '將雞蛋及清雞湯拌勻，倒入已放置豆腐之碟內，隔水用中火蒸 8-10分鐘。', '撒上乾肉鬆及蔥粒，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=32
28,西施豆腐,"['史雲生清雞湯250毫升', '滑豆腐 （切粗粒） 1盒', '急凍帶子8粒', '本菇50克', '青豆2湯匙', '蛋白1隻', '粟粉 （拌3茶匙 水） 1½茶匙', '蛋 1隻', '利用已煮沸之清雞湯的熱力可令蛋花更易成形。']","['燒滾半鑊水，把豆腐，帶子， 本菇及青豆分別飛水，隔乾 。', '將清雞湯煮至沸騰，放入所有材料煮5分鐘 。', '拌入粟粉水並煮成薄芡，最後拌入蛋白成蛋花， 即成 。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=33
29,香滑蒸水蛋,"['史雲生清雞湯250毫升', '雞蛋2隻', '蔥粒 1湯', '蒸水蛋時，水與蛋的分量通常較難準確掌握。現在只需用2隻蛋搭配史雲生清雞湯250毫升1盒，便可輕鬆蒸出嫩滑美味的水蛋。']","['將史雲生清雞湯與蛋液拌勻。', '將蛋液注入深碟中，用大火蒸8分鐘，灑上蔥粒，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=34
30,鹹蛋豬肉蒸蛋,"['史雲生清雞湯250毫升', '免治豬肉200克', '鹹蛋1隻', '雞蛋2隻', '鹹蛋白加入豬肉內既可作調味，又可使豬肉更嫩滑。 若要蛋蒸得更滑，可把豬肉先蒸熟（約8分鐘），然後加入蛋及清雞湯再蒸。']","['將鹹蛋黃切粒並和蛋白拌勻 。', '免治豬肉與鹹蛋白加入少許麻油及胡椒粉，攪至有黏性，放入碟內，將鹹蛋黃放面。', '將雞蛋與史雲生清雞湯拌勻，倒入碟內，隔水用中慢火蒸熟10至15分鐘。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=35
31,滑蛋蝦仁豆腐,"['蝦肉（用⅓茶匙鹽及少許胡椒粉拌勻）150克', '洋蔥（切粒）½個', '蛋（拌勻）1隻', '豆腐（切粗粒）1盒', '蔥粒 1湯匙', '史雲生金華火腿上湯250毫升', '生粉2茶匙']","['燒熱油2湯匙，炒蝦肉及洋蔥，再倒入芡汁煮滾。', '加入蛋液及豆腐輕輕拌勻煮片刻，最後撒上蔥粒，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=36
32,瑤柱上湯浸豆苗,"['史雲生瑤柱上湯250毫升', '豆苗\xa0 半斤', '蒜頭8瓣', '蛋白 （拌勻） 1隻']","['燒熱油2-3湯匙，下蒜頭以中慢火兜炒至金黃色。', '加豆苗炒片刻，注入史雲生瑤柱上湯煮至豆苗熟。最後拌入蛋白，即成。 ']",https://www.swansoncooking.com.hk/recipe-detail.php?id=37
34,麥皮粥,"['史雲生豬骨湯500毫升', '水500毫升', '燕麥片50克', '火腿 （切幼條） 1片', '青豆2湯匙', '蛋 （拌勻 ） 1隻']","['先將燕麥片放進300毫升水內浸5分鐘 ', '將史雲生豬骨湯與200毫升水放進鍋內煮滾 ，加入浸過之燕麥片（連水）煮至翻滾 ，改用中慢火煲約5-8分鐘成粥底。', '加入火腿及青豆略煮 ，拌入蛋液煮成蛋花，即成 。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=39
35,韓式泡菜麵,"['史雲生豬骨湯500毫升', '韓式泡菜150克', '豬腩肉片100克', '冬菇（切條）4隻', '韭菜（切段）8條', '蛋（煎蛋皮後切絲） 1隻', '炒香芝麻（撒面）少許', '乾麵條160-200克', '豬骨湯加了韓國泡菜，味道辛香微酸，十分開胃。']","['燒1湯匙油，炒香肉片，泡菜，冬菇絲及韭菜', '將史雲生豬骨湯煮至沸騰， 加入麵條煮至軟身。', '撒上蛋絲及芝麻，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=40
36,福建炒麵,"['史雲生調味雞汁３茶匙', '上海粗麵條（煮熟及過冷河）\u3000250克', '蝦仁（去黑腸及沖淨）\u300050克', '豬肉（切絲）\u300050克', '細洋蔥（切條）\u30001/2個', '紅辣椒（切圈）\u30001隻', '乾蔥（切片）\u30002粒', '蒜頭（切片）\u30001粒', '蛋（拌勻）\u30001隻', '可選擇包裝烏冬代替 ， 口感更軟靭！']","['分別將麵條與2茶匙史雲生調味雞汁拌勻 ，蝦仁及肉絲與½茶匙史雲生調味雞汁拌勻 ', '燒2湯匙油 ， 爆香蒜頭 ， 乾蔥 ， 辣椒及洋蔥 ， 加入蝦仁及肉絲兜炒 ，再放入麵條及調味料（½茶匙史雲生調味雞汁，3湯匙水）並炒至均勻 ', '最後倒入蛋液 ， 猛火兜炒至甘香 。可隨個人喜好加入炸蒜粒，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=41
37,家鄉炒米粉,"['史雲生調味雞汁2茶匙或', '調味雞汁方便裝2包', '乾米粉（浸20分鐘後隔乾）100克', '叉燒（切絲）80克', '冬菇（浸透）2隻', '紅蘿蔔（切絲）5', '韭菜（切段）8條', '蛋（煎成蛋皮後切絲）1隻', '以猛火快炒可使米粉香口乾爽 ， 與炆米粉食法大有不同！']","['燒2湯匙油炒熟紅蘿蔔及冬菇絲 ， 加入調味料（2茶匙史雲生調味雞汁及60毫升水）及米粉並炒至米粉乾身', '加入叉燒及韭菜 ， 沿鑊邊加入1湯匙油以猛火快手兜勻 ']",https://www.swansoncooking.com.hk/recipe-detail.php?id=42
38,煎琵琶豆腐,"['史雲生調味雞汁2茶匙或', '調味雞汁方便裝2包', '調味鯪魚膠150克', '硬豆腐（壓碎成1 1/4杯）2件', '冬菇（切碎）1/2個', '紅蘿蔔（切碎）1湯匙', '蔥（切碎）1湯匙', '芫茜（切碎）1茶匙', '蛋（拌勻）1隻', '生粉 1/2杯', '因生粉黏性較強，加入生粉可避免豆腐在煎時散開。']","['將豆腐， 魚膠及配菜與調味料（2茶匙史雲生調味雞汁，2湯匙 生粉）拌勻 ', '把12隻中式湯羹薄薄搽油 ， 填滿琵琶豆腐 ，\r\n\t\t\t\t\t\t\t\t\t', '燒4湯匙油 ， 將琵琶豆腐先沾上蛋液 ， 再薄薄沾上生粉 ，放中火油煎至金黃香口，即成 ']",https://www.swansoncooking.com.hk/recipe-detail.php?id=43
39,蝦仁洋蔥炒蛋,"['史雲生調味雞汁1茶匙或', '調味雞汁方便裝1包', '蛋（拌勻）3隻', '蝦仁（去黑腸及沖淨）150克', '細洋蔥（切絲）1個', '蔥（切粒）1條', '炒蛋的時間短 ， 配料需要預先煮熟才與蛋液混合。']","['將蛋與½茶匙史雲生調味雞汁發勻 ， 蝦仁與醃料（½茶匙史雲生調味雞汁，½茶匙生粉）拌勻 ', '燒1湯匙油炒熟蝦仁及洋蔥 ， 取出 ， 連同蔥粒放入蛋液內 ', '燒2湯匙油 ， 然後倒入蛋液兜炒均勻']",https://www.swansoncooking.com.hk/recipe-detail.php?id=44
40,鮮肉糭,"['史雲生清雞湯3升', '糉葉 60片', '糉草 （鹹水草） 20-25條', '糯米 2 1/2公斤', '開邊綠豆仁 600克', '五花腩肉（切片）1公斤', '鹹蛋10隻', '栗子 （煮熟，去衣切半） 10粒', '瑤柱 （浸軟，切半） 10粒', '熟油 （撈米用） 2湯匙', '鹽 3茶匙', '生抽、米酒 各2湯匙', '老抽、麻油 各1湯匙', '鹽、胡椒粉 少許', '五香粉 1/4茶匙', '糖 1茶匙', '想令糉子更好味，可於烚糭時加入史雲生清雞湯２升。']","['糯米及綠豆分別用史雲生清雞湯2升及1升浸泡一晚。糯米用油撈遍。', '五花腩下醃料醃一晚。', '把糉葉和草放進已注滿水的大鍋中以大火煮沸，熄火待涼。過清水，剪去糭葉硬梗後浸於清水中，備用。', '先把糉葉鋪滿鍋底，以防黐鍋。', '將包好的糉放入鍋中，加入清水至蓋過全部糉子。加鹽後蓋上以大火煮滾，轉中火烚3.5小時。熜火後再焗1小時，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=45
41,肉丸粥,"['史雲生豬骨湯1升', '水3升', '米（洗淨、用1/3茶匙鹽拌勻醃15分鐘）140克', '半肥瘦免治豬肉250克', '冬菇（浸軟及切碎）3隻', '生菜絲100克', '鹽、糖各⅓茶匙', '生粉1½湯匙', '水3湯匙', '麻油、胡椒粉 少許', '豬骨湯底粥加入了生菜絲可使粥更加清爽鮮甜。']","['將史雲生豬骨湯及水放進大鍋裡煮滾 ，下醃好的米翻滾5分鐘 ，改用中慢火煲約40分鐘成粥底。', '加切碎冬菇及調味料至免治豬肉裡攪至有黏性，然後捏成肉丸。', '粥煲好後，加入肉丸煮至浮面熟透，再加生菜絲煮滾即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=46
42,柴魚花生豬骨粥,"['史雲生豬骨湯1升', '水 3升', '米（洗淨、用1/3茶匙鹽拌勻醃15分鐘）140克', '柴魚（浸軟、切段）80克', '炸脆花生 1/2杯', '瘦肉（切片）250克', '鹽 1/3茶匙', '麻油、胡椒粉 少許', '水 1湯匙', '粥煮好後可略加炸脆花生，更加香脆好味。']","['將史雲生豬骨湯及水同放進大鍋裡煮滾 ，下醃好的米、柴魚及花生翻滾5分鐘，改用中慢火煲約40分鐘成粥底。', '肉片拌入調味料醃10分鐘', '粥煲好後加肉片煮滾，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=47
43,菜乾豬骨粥,"['史雲生豬骨湯1升', '水3升', '米（洗淨、用1/3茶匙鹽拌勻醃15分鐘）140克', '菜乾（浸20分鐘、切段）50克', '排骨（斬件約2厘米大小、汆水）300克', '必須先將排骨汆水，去除腥味才加入粥內煲，才可保存肉及味。']","['將史雲生豬骨湯及水放進大鍋裡煮滾，下醃好的米、菜乾及排骨翻滾5分鐘，改用中慢火煲約40分鐘成粥底 。', '粥煲好後隨意加少許胡椒粉及麻油，即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=48
44,冬瓜粒湯泡飯,"['史雲生清雞湯250毫升1盒', '冬瓜（切粒）250克', '枚頭豬肉（肉切粒）250克', '鮮冬菇（切粒)3隻', '瑤柱1粒（用熱水浸軟，撕碎）', '白飯11/2碗', '可按喜好加入其他材料，如雜豆、火腿粒等。']","['豬肉粒用少許生抽，糖及生粉拌勻。燒熱油1湯匙，炒香豬肉粒，備用。', '史雲生清雞湯放鍋內煮滾，加入冬瓜、鮮菇及瑤柱絲煮約5分鐘。', '最後加入白飯及豬肉，煮滾即成。']",https://www.swansoncooking.com.hk/recipe-detail.php?id=49
